molecule_chembl_id,smiles,standard_units,pIC50,pKi
CHEMBL103299,Cc1ccc(CCN)cc1,nM,7.113509274827518,
CHEMBL1082333,N#Cc1c(-c2ccc(Cl)cc2)nc(SCc2ccc([N+](=O)[O-])cc2)[nH]c1=O,nM,5.214670164989233,
CHEMBL1096283,Cn1nc(-c2ccc(C(F)(F)F)cc2)nc2c(=O)n(C)c(=O)nc1-2,nM,6.585026652029182,
CHEMBL1116,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,nM,5.251037138743839,
CHEMBL117102,CCC(CC)CC1(C(=O)Nc2ccccc2S)CCCCC1,nM,4.841637507904751,
CHEMBL1172891,COc1ccc(CNC(=O)C2CCN([C@H](C)c3cccc4ccccc34)CC2)cc1,nM,6.036212172654444,
CHEMBL1173049,COc1ccc(CNC(=O)C2CCN(Cc3cccc4ccccc34)CC2)cc1,nM,3.996970529446382,
CHEMBL1200397,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12.Cl,nM,5.267606240177032,
CHEMBL1200596,Oc1c(Cl)cc(Cl)c2cccnc12,nM,5.140261433802853,
CHEMBL1200712,Cc1cc(-c2ccc(/N=N/c3ccc4c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c(N)c4c3O)c(C)c2)ccc1/N=N/c1ccc2c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c(N)c2c1O.[Na+].[Na+].[Na+].[Na+],nM,6.698970004336019,
CHEMBL1214186,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[C@@H](N)CC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,nM,6.512578788640526,
CHEMBL121556,S=C(SSC(=S)N1CCOCC1)N1CCOCC1,nM,5.394694953858891,
CHEMBL1241028,O=C1CC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,nM,3.8601209135987635,
CHEMBL1255891,CCCC[C@H](NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,nM,5.24184537803261,
CHEMBL12722,NCc1cccc(F)c1,nM,7.1487416512809245,
CHEMBL13305,NCc1c(Cl)cccc1Cl,nM,7.0915149811213505,
CHEMBL1336287,CCOc1cccc(C(=O)c2ccc(O)c(O)c2O)c1,nM,4.97469413473523,
CHEMBL1336959,Cc1ccc(-n2sc3ccccc3c2=O)cc1,nM,6.481486060122113,
CHEMBL1339340,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O,nM,5.366531544420414,
CHEMBL1370095,CCN1CCN(c2ccc(N)cc2)CC1,nM,7.552841968657781,
CHEMBL138621,NCc1ccc(Br)cc1,nM,7.346787486224656,
CHEMBL1394251,O=C(NCc1ccco1)c1ccc(-n2sc3ccccc3c2=O)cc1,nM,6.42021640338319,
CHEMBL1397270,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C)c2cc1C=O,nM,6.275724130399211,
CHEMBL1405735,CCC(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NC2CCCC2)c2cccnc2)cc1,nM,5.657577319177793,
CHEMBL14193,O=Cc1ccc(O)cc1,nM,5.399027104313252,
CHEMBL1431798,CN=C(S)N=C(Nc1ccccc1)c1ccccc1,nM,4.398157210217902,
CHEMBL1435753,CCCNC(=O)c1ccc(-n2sc3ccccc3c2=O)cc1,nM,6.638272163982407,
CHEMBL1448,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,nM,6.552841968657781,
CHEMBL1467,Oc1ncnc2[nH]ncc12,nM,5.423658649794207,
CHEMBL1473252,Cc1c(S(=O)(=O)[O-])oc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C.[Na+],nM,5.782516055786093,
CHEMBL1479456,NC(=O)CN1C(=O)C(O)(CC(=O)/C=C\c2ccc3c(c2)OCO3)c2ccccc21,nM,4.442853857681637,
CHEMBL1488059,N#CSCC(=O)N1c2ccccc2CCc2ccccc21,nM,4.639652769024234,
CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,nM,5.337242168318426,
CHEMBL15192,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,nM,6.214670164989233,
CHEMBL1532997,O=c1[nH]sc2cc(F)ccc12,nM,5.639595945270061,
CHEMBL154,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,nM,5.462180904926726,
CHEMBL1595621,C=CCn1c(S)nnc1CSc1ccccc1[N+](=O)[O-],nM,7.337242168318426,
CHEMBL161867,C/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1,nM,6.486782399932061,
CHEMBL162755,C/N=c1\nc(-c2ccc(Cl)cc2)n(-c2ccccc2)s1,nM,6.866461091629782,
CHEMBL165728,CNC(=O)c1ccc(N)cc1,nM,7.468521082957745,
CHEMBL1703831,O=C(Cn1sc2cc(F)ccc2c1=O)Nc1ccccc1,nM,5.482144581069972,
CHEMBL1709906,O=C(Cn1sc2ccccc2c1=O)Nc1ccccc1,nM,6.781989957015637,
CHEMBL1710047,Cn1sc2ccccc2c1=O,nM,6.107905397309519,
CHEMBL1716371,O=c1c2cc(Br)ccc2sn1-c1ccccc1,nM,7.522878745280337,
CHEMBL1770312,CC(C)=CCc1c(-c2ccc(O)c3c2OC(C)(C)C=C3)oc2cc(O)cc(O)c2c1=O,nM,4.453457336521869,
CHEMBL186141,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@H]1O,nM,4.823908740944319,
CHEMBL187266,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,nM,5.803823814960027,
CHEMBL187460,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,nM,5.429223631205252,
